trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
B20121216SUN_156200_A..N09R,26:56:00,26:56:00,A40N,29,,0,0,
B20121216WKD_035700_C..N04R,06:20:30,06:20:30,A40N,16,,0,0,
B20121216WKD_036750_C..N04R,06:31:00,06:31:00,A40N,16,,0,0,
B20121216WKD_037750_C..N04R,06:41:00,06:41:00,A40N,16,,0,0,
B20121216WKD_038650_C..N04R,06:50:00,06:50:00,A40N,16,,0,0,
B20121216WKD_031850_C..S04R,05:57:00,05:57:00,A40S,25,,0,0,
B20121216WKD_039650_C..N04R,07:00:00,07:00:00,A40N,16,,0,0,
B20121216WKD_040450_C..N04R,07:08:00,07:08:00,A40N,16,,0,0,
B20121216WKD_033600_C..S04R,06:14:30,06:14:30,A40S,25,,0,0,
B20121216WKD_041450_C..N04R,07:18:00,07:18:00,A40N,16,,0,0,
B20121216WKD_042200_C..N04R,07:26:00,07:26:00,A40N,16,,0,0,
B20121216WKD_035100_C..S04R,06:30:00,06:30:00,A40S,25,,0,0,
B20121216WKD_043250_C..N04R,07:37:00,07:37:00,A40N,16,,0,0,
B20121216WKD_036400_C..S04R,06:42:30,06:42:30,A40S,25,,0,0,
B20121216WKD_044200_C..N04R,07:48:00,07:48:00,A40N,16,,0,0,
